feature,importance
Fwd Pkts/s,2.9435221857857516e-07
Bwd Pkts/s,2.9054601186803926e-07
Dst Port,2.6651032233867053e-07
Flow Pkts/s,2.552106560892924e-07
Fwd Pkt Len Max,2.1687198936963461e-07
TotLen Fwd Pkts,2.1018781007792245e-07
Init Fwd Win Byts,2.0286582060001542e-07
Fwd Pkt Len Mean,1.9306040929680234e-07
Flow Duration,1.6952888341363208e-07
Bwd IAT Tot,1.6864917366838338e-07
Subflow Fwd Pkts,1.6637754039468978e-07
Flow IAT Mean,1.5697975299373727e-07
Tot Fwd Pkts,1.555862908341156e-07
Fwd Pkt Len Std,1.5165959830035227e-07
Fwd Header Len,1.4462813668021559e-07
Bwd IAT Min,1.3641210853257216e-07
Flow IAT Max,1.3298508479568558e-07
Flow IAT Min,1.2571144413491726e-07
Bwd IAT Max,1.2249539145877946e-07
Fwd Seg Size Avg,1.1584343410917786e-07
Flow IAT Std,1.1299713103982617e-07
Fwd IAT Mean,1.1277444116974982e-07
Fwd IAT Tot,1.0639275041101821e-07
Fwd IAT Max,1.0518404406973586e-07
Pkt Size Avg,1.0354886835180323e-07
Flow Byts/s,1.0311644797056249e-07
Pkt Len Mean,1.0253006144177727e-07
Init Bwd Win Byts,9.9248704016089e-08
Fwd IAT Min,9.71147646278755e-08
Subflow Fwd Byts,9.361751379943031e-08
Src Port,8.618418599170871e-08
Bwd Header Len,8.048692892667226e-08
Fwd Act Data Pkts,7.338718425975538e-08
Pkt Len Max,7.064891068392998e-08
Bwd IAT Mean,5.541439226786598e-08
Bwd Pkt Len Mean,5.2963851957242706e-08
TotLen Bwd Pkts,4.9432357829665596e-08
Bwd Seg Size Avg,4.4422260998782396e-08
Fwd Seg Size Min,4.331509534886405e-08
Tot Bwd Pkts,4.1898773261982725e-08
Bwd Pkt Len Max,3.921209388407538e-08
Subflow Bwd Byts,3.8711232125668855e-08
Fwd IAT Std,3.7928351162015734e-08
Subflow Bwd Pkts,3.7786696463645316e-08
Pkt Len Std,3.668621984505139e-08
ACK Flag Cnt,3.627647570532374e-08
Pkt Len Var,3.247563280250337e-08
Bwd IAT Std,3.03844765438747e-08
PSH Flag Cnt,2.2491437247427724e-08
Down/Up Ratio,1.6073567824921992e-08
Bwd Pkt Len Std,1.2173985043084702e-08
Pkt Len Min,1.1741440534220132e-08
Bwd Pkt Len Min,1.1385497084379851e-08
Idle Max,1.0407751489476835e-08
Fwd Pkt Len Min,8.865683479089911e-09
Idle Min,8.179738858077293e-09
Protocol,7.734972948165697e-09
Idle Mean,6.9889559512227315e-09
ECE Flag Cnt,4.2711871320924066e-09
URG Flag Cnt,3.921150776087199e-09
RST Flag Cnt,3.745833336782449e-09
Active Min,2.8560552161492343e-10
Active Max,2.0027684606848464e-10
Active Mean,6.977043290492638e-13
Dst IP,0.0
Fwd Blk Rate Avg,0.0
Active Std,0.0
Bwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Fwd Byts/b Avg,0.0
Bwd PSH Flags,0.0
Fwd Pkts/b Avg,0.0
Src IP,0.0
Idle Std,0.0
SYN Flag Cnt,0.0
Flow ID,0.0
Bwd Pkts/b Avg,0.0
FIN Flag Cnt,0.0
Bwd URG Flags,0.0
CWE Flag Count,0.0
Fwd URG Flags,0.0
Fwd PSH Flags,0.0
